NAME ,HOURS OF OPERATION,CYBERNAVIGATOR,TEACHER IN THE LIBRARY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LOCATION
Altgeld,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,13281 S. Corliss Avenue,CHICAGO,IL,60827,(312) 747-3270,http://www.chipublib.org/branch/details/library/altgeld/,"13281 Corliss Avenue
CHICAGO, IL 60827
(41.65473021837776, -87.6022302609835)"
Archer Heights,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,5055 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-9241,http://www.chipublib.org/branch/details/library/archer-heights/,"5055 Archer Avenue
CHICAGO, IL 60632
(41.8012136599335, -87.72649071431441)"
Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,5615 W. Race Avenue,CHICAGO,IL,60644,(312) 746-5038,http://www.chipublib.org/branch/details/library/austin/,"5615 Race Avenue
CHICAGO, IL 60644
(41.889272153514526, -87.76571186722818)"
Austin-Irving,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,6100 W. Irving Park Road,CHICAGO,IL,60634,(312) 744-6222,http://www.chipublib.org/branch/details/library/austin-irving/,"6100 Irving Park Road
CHICAGO, IL 60634
(41.95317390064158, -87.77938682073541)"
Avalon,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,8148 S. Stony Island Avenue ,CHICAGO,IL,60617,(312) 747-5234,http://www.chipublib.org/branch/details/library/avalon/,"8148 Stony Island Avenue
CHICAGO, IL 60617
(41.74671722160199, -87.58539658719002)"
Beverly,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,1962 W. 95th Street,CHICAGO,IL,60643,(312) 747-9673,http://www.chipublib.org/branch/details/library/beverly/,"1962 95th Street
CHICAGO, IL 60643
(41.721180505456495, -87.6719464613888)"
Bezazian,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,1226 W. Ainslie Street,CHICAGO,IL,60640,(312) 744-0019,http://www.chipublib.org/branch/details/library/bezazian/,"1226 Ainslie Street
CHICAGO, IL 60640
(41.97168194800458, -87.66073027218957)"
Blackstone,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,4904 S. Lake Park Avenue,CHICAGO,IL,60615,(312) 747-0511,http://www.chipublib.org/branch/details/library/blackstone/,"4904 Lake Park Avenue
CHICAGO, IL 60615
(41.8058403098503, -87.58934182212592)"
Brainerd,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,1350 W. 89th Street,CHICAGO,IL,60620,(312) 747-6291,http://www.chipublib.org/branch/details/library/brainerd/,"1350 89th Street
CHICAGO, IL 60620
(41.732316757097045, -87.65723451581835)"
Brighton Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,4314 S. Archer Avenue,CHICAGO,IL,60632,(312) 747-0666,http://www.chipublib.org/branch/details/library/brighton-park/,"4314 Archer Avenue
CHICAGO, IL 60632
(41.815138789328266, -87.70265431614907)"
Bucktown-Wicker Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,1701 N. Milwaukee Avenue,CHICAGO,IL,60647,(312) 744-6022,http://www.chipublib.org/branch/details/library/bucktown-wicker-park/,"1701 Milwaukee Avenue
CHICAGO, IL 60647
(41.91272239576367, -87.6805873025965)"
Budlong Woods,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,5630 N. Lincoln Avenue,CHICAGO,IL,60659,(312) 742-9590,http://www.chipublib.org/branch/details/library/budlong-woods/,"5630 Lincoln Avenue
CHICAGO, IL 60659
(41.98457226437275, -87.69773449236712)"
Canaryville,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,642 W. 43rd Street,CHICAGO,IL,60609,(312) 747-0644,http://www.chipublib.org/branch/details/library/canaryville/,"642 43rd Street
CHICAGO, IL 60609
(41.815505684396335, -87.64250101465565)"
Chicago Bee,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,3647 S. State Street,CHICAGO,IL,60609,(312) 747-6872,http://www.chipublib.org/branch/details/library/chicago-bee/,"3647 State Street
CHICAGO, IL 60609
(41.8284268698988, -87.62640221644719)"
Chicago Lawn,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,6120 S. Kedzie Avenue ,CHICAGO,IL,60629,(312) 747-0639,http://www.chipublib.org/branch/details/library/chicago-lawn/,"6120 Kedzie Avenue
CHICAGO, IL 60629
(41.78180787787282, -87.70326162211758)"
Chinatown,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,2353 S. Wentworth Avenue,CHICAGO,IL,60616,(312) 747-8013,http://www.chipublib.org/branch/details/library/chinatown/,"2353 Wentworth Avenue
CHICAGO, IL 60616
(41.849753498689424, -87.63190001364559)"
Clearing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,6423 W. 63rd Place,CHICAGO,IL,60638,(312) 747-5657,http://www.chipublib.org/branch/details/library/clearing/,"6423 63rd Place
CHICAGO, IL 60638
(41.77678205621646, -87.78181978755116)"
Coleman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,731 E. 63rd Street,CHICAGO,IL,60637,(312) 747-7760,http://www.chipublib.org/branch/details/library/bessie-coleman/,"731 63rd Street
CHICAGO, IL 60637
(41.78037301095412, -87.60715724280014)"
"Daley, Richard J.-Bridgeport","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,3400 S. Halsted Street,CHICAGO,IL,60608,(312) 747-8990,http://www.chipublib.org/branch/details/library/daley/,"3400 Halsted Street
CHICAGO, IL 60608
(41.83228703346308, -87.64648501124545)"
"Daley, Richard M.-W Humboldt","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,733 N. Kedzie Avenue,CHICAGO,IL,60612,(312) 743-0555,http://www.chipublib.org/branch/details/library/daley-w-humboldt/,"733 Kedzie Avenue
CHICAGO, IL 60612
(41.8943707, -87.7064607)"
Douglass,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,3353 W. 13th Street,CHICAGO,IL,60623,(312) 747-3725,http://www.chipublib.org/branch/details/library/douglass/,"3353 13th Street
CHICAGO, IL 60623
(41.864500759742604, -87.70968548933996)"
Dunning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,7455 W. Cornelia Avenue,CHICAGO,IL,60634,(312) 743-0480,http://www.chipublib.org/branch/details/library/dunning/,"7455 Cornelia Avenue
CHICAGO, IL 60634
(41.943308, -87.817497)"
Edgebrook,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,5331 W. Devon Avenue,CHICAGO,IL,60646,(312) 744-8313,http://www.chipublib.org/branch/details/library/edgebrook/,"5331 Devon Avenue
CHICAGO, IL 60646
(41.9969708834685, -87.7620478920105)"
Edgewater,"M: Closed; TU-TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed; ",No,No,1210 W. Elmdale Avenue,CHICAGO,IL,60660,(312) 744-0718,http://www.chipublib.org/branch/details/library/edgewater/,"1210 Elmdale Avenue
CHICAGO, IL 60660
(41.99087707637486, -87.66075410604445)"
Gage Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,2807 W. 55th Street,CHICAGO,IL,60632,(312) 747-0032,http://www.chipublib.org/branch/details/library/gage-park/,"2807 55th Street
CHICAGO, IL 60632
(41.79369723271382, -87.69404645462895)"
Galewood-Mont Clare,"M-TH: 10AM-6PM; F: 9AM-5PM; SA, SU: Closed",No,No,6871 W. Belden Avenue,CHICAGO,IL,60707,(312) 746-0165,http://www.chipublib.org/branch/details/library/galewood-mont-clare/,"6871 Belden Avenue
CHICAGO, IL 60707
(41.921114724943386, -87.79724102070298)"
Garfield Ridge,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,6348 S. Archer Avenue,CHICAGO,IL,60638,(312) 747-6094,http://www.chipublib.org/branch/details/library/garfield-ridge/,"6348 Archer Avenue
CHICAGO, IL 60638
(41.79298666078267, -87.78013325801972)"
Greater Grand Crossing,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,1000 East 73rd Street,CHICAGO,IL,60619,(312) 745-1608,http://www.chipublib.org/branch/details/library/greater-grand-crossing/,"1000 73rd Street
CHICAGO, IL 60619
(41.7623, -87.6005)"
Hall,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,4801 S. Michigan Avenue,CHICAGO,IL,60615,(312) 747-2541,http://www.chipublib.org/branch/details/library/hall/,"4801 Michigan Avenue
CHICAGO, IL 60615
(41.80743298280974, -87.62273981936815)"
